date,symbol,price,eps,book_value,sales,dividend,market_cap,debt,cash,ebitda
2025-09-19,601318.SH,52.4,3.87,52.13003439435406,0.0,1.1273748401717283,948840440538.0,12166459000000.0,698260000000.0,81656400000.0
2025-09-22,601318.SH,52.449999999999996,3.87,52.13003439435406,0.0,1.1273748401717283,949745822637.7499,12166459000000.0,698260000000.0,81656400000.0
2025-09-23,601318.SH,52.32,3.87,52.13003439435406,0.0,1.1273748401717283,947391829178.4,12166459000000.0,698260000000.0,81656400000.0
2025-09-24,601318.SH,52.59,3.87,52.13003439435406,0.0,1.1273748401717283,952280892517.05,12166459000000.0,698260000000.0,81656400000.0
2025-09-25,601318.SH,52.39,3.87,52.13003439435406,0.0,1.1273748401717283,948659364118.05,12166459000000.0,698260000000.0,81656400000.0
2025-09-26,601318.SH,52.52,3.87,52.13003439435406,0.0,1.1273748401717283,951013357577.4,12166459000000.0,698260000000.0,81656400000.0
2025-09-29,601318.SH,53.309999999999995,3.87,52.13003439435406,0.0,1.1273748401717283,965318394753.45,12166459000000.0,698260000000.0,81656400000.0
2025-09-30,601318.SH,52.41,7.56,54.474569370897264,0.0,2.2011038218562926,949021516957.95,12276535000000.0,702025000000.0,159427200000.0
2025-10-09,601318.SH,52.339999999999996,7.56,54.474569370897264,0.0,2.2011038218562926,947753982018.2999,12276535000000.0,702025000000.0,159427200000.0
2025-10-10,601318.SH,52.84,7.56,54.474569370897264,0.0,2.2011038218562926,956807803015.8,12276535000000.0,702025000000.0,159427200000.0
2025-10-13,601318.SH,52.4,7.56,54.474569370897264,0.0,2.2011038218562926,948840440538.0,12276535000000.0,702025000000.0,159427200000.0
2025-10-14,601318.SH,53.78,7.56,54.474569370897264,0.0,2.2011038218562926,973828986491.1,12276535000000.0,702025000000.0,159427200000.0
2025-10-15,601318.SH,55.11,7.56,54.474569370897264,0.0,2.2011038218562926,997912150344.45,12276535000000.0,702025000000.0,159427200000.0
2025-10-16,601318.SH,55.31999999999999,7.56,54.474569370897264,0.0,2.2011038218562926,1001714755163.3999,12276535000000.0,702025000000.0,159427200000.0
2025-10-17,601318.SH,54.58,7.56,54.474569370897264,0.0,2.2011038218562926,988315100087.1,12276535000000.0,702025000000.0,159427200000.0
2025-10-20,601318.SH,55.2,7.56,54.474569370897264,0.0,2.2011038218562926,999541838124.0,12276535000000.0,702025000000.0,159427200000.0
2025-10-21,601318.SH,55.379999999999995,7.56,54.474569370897264,0.0,2.2011038218562926,1002801213683.1,12276535000000.0,702025000000.0,159427200000.0
2025-10-22,601318.SH,55.51,7.56,54.474569370897264,0.0,2.2011038218562926,1005155207142.45,12276535000000.0,702025000000.0,159427200000.0
2025-10-23,601318.SH,56.05,7.56,54.474569370897264,0.0,2.2011038218562926,1014933333819.75,12276535000000.0,702025000000.0,159427200000.0
2025-10-24,601318.SH,56.13,7.56,54.474569370897264,0.0,2.2011038218562926,1016381945179.3501,12276535000000.0,702025000000.0,159427200000.0
2025-10-27,601318.SH,56.0,7.56,54.474569370897264,0.0,2.2011038218562926,1014027951720.0,12276535000000.0,702025000000.0,159427200000.0
2025-10-28,601318.SH,56.010000000000005,7.56,54.474569370897264,0.0,2.2011038218562926,1014209028139.9501,12276535000000.0,702025000000.0,159427200000.0
2025-10-29,601318.SH,57.2,7.56,54.474569370897264,0.0,2.2011038218562926,1035757122114.0,12276535000000.0,702025000000.0,159427200000.0
2025-10-30,601318.SH,56.9,7.56,54.474569370897264,0.0,2.2011038218562926,1030324829515.5,12276535000000.0,702025000000.0,159427200000.0
2025-10-31,601318.SH,56.080000000000005,7.56,54.474569370897264,0.0,2.2011038218562926,1015476563079.6001,12276535000000.0,702025000000.0,159427200000.0
2025-11-03,601318.SH,56.56,7.56,54.474569370897264,0.0,2.2011038218562926,1024168231237.2001,12276535000000.0,702025000000.0,159427200000.0
2025-11-04,601318.SH,57.190000000000005,7.56,54.474569370897264,0.0,2.2011038218562926,1035576045694.05,12276535000000.0,702025000000.0,159427200000.0
2025-11-05,601318.SH,56.57,7.56,54.474569370897264,0.0,2.2011038218562926,1024349307657.15,12276535000000.0,702025000000.0,159427200000.0
2025-11-06,601318.SH,57.150000000000006,7.56,54.474569370897264,0.0,2.2011038218562926,1034851740014.2501,12276535000000.0,702025000000.0,159427200000.0
2025-11-07,601318.SH,57.14,7.56,54.474569370897264,0.0,2.2011038218562926,1034670663594.3,12276535000000.0,702025000000.0,159427200000.0
2025-11-10,601318.SH,57.55,7.56,54.474569370897264,0.0,2.2011038218562926,1042094796812.25,12276535000000.0,702025000000.0,159427200000.0
2025-11-11,601318.SH,57.45,7.56,54.474569370897264,0.0,2.2011038218562926,1040284032612.75,12276535000000.0,702025000000.0,159427200000.0
2025-11-12,601318.SH,58.28,7.56,54.474569370897264,0.0,2.2011038218562926,1055313375468.6,12276535000000.0,702025000000.0,159427200000.0
